title	type	episodes	start_date	end_date	score	users	ranked	popularity	members	synopsis	related_anime	characters	voices	staff
Kazoku no Hanashi (The Story of a Family)	ONA	1	2013-11-16 00:00:00	None	6.51	444	6107	11706	803	The story follows a family of apple farmers: a mom, a dad, and their adoring son. The young boy idolizes his father and hopes to take part in the family business once he grows up. However, as he grows older and more rebellious, he begins to drift apart from his parents, trying to make it big in Tokyo as a musician. Meanwhile, his parents support him every step of the way, even when their son is absent, even when he is ungrateful, and especially when he begins to falter, all in spite of the struggles they are facing at the farm.	None	[]	[]	[['Tekken', ['Director']]]
